Variable,Brasil,Colombia,Costa Rica,Ecuador,Panamá
deltaTime,0.3312417,0.336125,0.386095,0.304962,0.443
lowFreq,1645.258,1962.202,1785.876,1608.91,1734.262
highFreq,2562.293,2955.568,2959.407,3268.5,3031.365
maxTime,8.813714,10.503538,18.707392,10.858167,25.277
Energy,103.7415,102.3747,109.4127,109,105.49
maxEntropy,2.829811,2.933922,3.309036,3.154405,3.41272
maxFreq,2308.578,2665.925,2642.457,2553.5,2753.709
maxPower,93.95109,91.61616,100.26647,99.5,96.09
minEntropy,1.235313,1.267055,1.358016,1.283476,1.285
peakFreq,2308.578,2665.925,2642.457,2553.5,2753.709
avEntropy,1.76705,1.875075,2.163651,1.952125,2.0824
avPower,79.20036,77.56068,82.54579,82.5,79.09
